Classifier,Augmented,Features,PCA,Classifier_Metrics,Accuracy,f1 no_tumor,f1 tumor
svm,False,"('hog',)",PCA(n_components=0.9),"SVC(C=10, gamma=0.001)",0.915,0.874074074074074,0.9358490566037736
svm,False,"('wavelet_3x',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.88,0.8095238095238094,0.9124087591240875
svm,False,"('wavelet_2x',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.91,0.8548387096774193,0.9347826086956522
svm,False,"('hog', 'wavelet_3x')",PCA(n_components=0.95),"SVC(C=10, gamma=0.001)",0.94,0.90625,0.9558823529411765
svm,False,"('hog', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.935,0.8976377952755905,0.9523809523809523
svm,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.92,0.8709677419354839,0.9420289855072465
svm,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.935,0.8976377952755905,0.9523809523809523
random forest,False,"('hog',)",PCA(n_components=50),RandomForestClassifier(),0.855,0.7478260869565218,0.8982456140350877
random forest,False,"('wavelet_3x',)",PCA(n_components=100),RandomForestClassifier(n_estimators=200),0.795,0.616822429906542,0.8600682593856656
random forest,False,"('wavelet_2x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.845,0.7102803738317757,0.89419795221843
random forest,False,"('hog', 'wavelet_3x')",PCA(n_components=50),RandomForestClassifier(),0.88,0.7966101694915254,0.9148936170212766
random forest,False,"('hog', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.85,0.7368421052631579,0.8951048951048951
random forest,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.805,0.6213592233009708,0.8686868686868686
random forest,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(),0.845,0.7256637168141592,0.89198606271777
knn,False,"('hog',)",PCA(n_components=0.99),KNeighborsClassifier(n_neighbors=1),0.935,0.9007633587786259,0.9516728624535317
knn,False,"('wavelet_3x',)",PCA(n_components=0.9),KNeighborsClassifier(n_neighbors=1),0.9,0.8387096774193549,0.927536231884058
knn,False,"('wavelet_2x',)",PCA(n_components=100),KNeighborsClassifier(n_neighbors=1),0.885,0.816,0.9163636363636363
knn,False,"('hog', 'wavelet_3x')",PCA(n_components=0.99),KNeighborsClassifier(n_neighbors=1),0.91,0.8656716417910447,0.9323308270676692
knn,False,"('hog', 'wavelet_2x')",PCA(n_components=0.9),KNeighborsClassifier(n_neighbors=1),0.88,0.8095238095238094,0.9124087591240875
knn,False,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=0.95),KNeighborsClassifier(n_neighbors=1),0.875,0.8,0.9090909090909091
knn,False,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=100),KNeighborsClassifier(n_neighbors=1),0.885,0.8130081300813008,0.9169675090252707
svm,True,"('hog',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.925,0.8837209302325582,0.9446494464944649
svm,True,"('wavelet_3x',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.86,0.7627118644067796,0.9007092198581561
svm,True,"('wavelet_2x',)",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.915,0.864,0.9381818181818181
svm,True,"('hog', 'wavelet_3x')",PCA(n_components=0.99),"SVC(C=10, gamma=0.001)",0.94,0.9047619047619048,0.9562043795620437
svm,True,"('hog', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.94,0.9047619047619048,0.9562043795620437
svm,True,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=100),"SVC(C=10, gamma=0.001)",0.92,0.8709677419354839,0.9420289855072465
svm,True,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=0.99),"SVC(C=10, gamma=0.0001)",0.92,0.8749999999999999,0.9411764705882354
random forest,True,"('hog',)",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.84,0.7037037037037037,0.8904109589041096
random forest,True,"('wavelet_3x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=50),0.82,0.6399999999999999,0.88
random forest,True,"('wavelet_2x',)",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.795,0.5684210526315789,0.8655737704918033
random forest,True,"('hog', 'wavelet_3x')",PCA(n_components=50),RandomForestClassifier(n_estimators=200),0.87,0.7678571428571428,0.9097222222222223
random forest,True,"('hog', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=50),0.845,0.7102803738317757,0.89419795221843
random forest,True,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=50),0.83,0.6666666666666666,0.8859060402684563
random forest,True,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=50),RandomForestClassifier(n_estimators=50),0.825,0.6666666666666665,0.8813559322033898
knn,True,"('hog',)",PCA(n_components=0.9),KNeighborsClassifier(n_neighbors=1),0.935,0.9022556390977443,0.951310861423221
knn,True,"('wavelet_3x',)",PCA(n_components=0.95),KNeighborsClassifier(n_neighbors=1),0.895,0.8264462809917356,0.9247311827956989
knn,True,"('wavelet_2x',)",PCA(n_components=0.9),KNeighborsClassifier(n_neighbors=1),0.88,0.806451612903226,0.9130434782608695
knn,True,"('hog', 'wavelet_3x')",PCA(n_components=100),KNeighborsClassifier(n_neighbors=1),0.885,0.8296296296296296,0.9132075471698113
knn,True,"('hog', 'wavelet_2x')",PCA(n_components=0.99),KNeighborsClassifier(n_neighbors=1),0.865,0.7874015748031497,0.9010989010989012
knn,True,"('wavelet_3x', 'wavelet_2x')",PCA(n_components=100),KNeighborsClassifier(n_neighbors=1),0.89,0.819672131147541,0.920863309352518
knn,True,"('hog', 'wavelet_3x', 'wavelet_2x')",PCA(n_components=0.9),KNeighborsClassifier(n_neighbors=1),0.885,0.8130081300813008,0.9169675090252707
